%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
357595500000,900,357592500000,fcu,4.00115060806,-4.62002897263,0.969442725182,0.00123514289385,0.0114437206474,-0.724957063886,0.688697880933
357835500000,901,357835500000,fcu,4.13444185257,-4.77150201797,0.971304178238,0.00156437248717,0.00974718397647,-0.724539508235,0.689162568739
358075500000,902,358074500000,fcu,4.26139831543,-4.91526317596,0.970006227493,0.000512471096663,0.00536981226301,-0.724109569203,0.689663856004
358315500000,903,358314500000,fcu,4.38158798218,-5.049264431,0.964571833611,6.66393082889e-05,0.00414006035163,-0.723654807267,0.690149676069
358554500000,904,358554500000,fcu,4.50804185867,-5.19022941589,0.966715931892,0.00117916745083,0.0103220052826,-0.72316138456,0.69060095399
358795500000,905,358794500000,fcu,4.64061641693,-5.34072685242,0.965176939964,0.00190747576786,0.0104902326405,-0.722681059351,0.691099416156
359035500000,906,359034500000,fcu,4.75921678543,-5.48903942108,0.968084931374,0.00919359728351,-0.00238111432303,-0.722229739549,0.691588035881
359275500000,907,359274500000,fcu,4.84771728516,-5.62456703186,0.973241746426,0.0154167495356,-0.010782730022,-0.721642654563,0.692010069061
359514500000,908,359514500000,fcu,4.92613315582,-5.76672363281,0.97178030014,0.0139393094983,-0.00285282759697,-0.721101126854,0.692683709838
359755500000,909,359755500000,fcu,4.99491214752,-5.91568374634,0.969020426273,0.0128487454016,-0.00117955037731,-0.720559564552,0.693272985436
359995500000,910,359994500000,fcu,5.05122900009,-6.06556367874,0.967406570911,0.0106932237803,-0.00407310658647,-0.720054329278,0.69382334038
360234500000,911,360234500000,fcu,5.09073114395,-6.1988286972,0.969690740108,0.00951874823866,-0.00581400548285,-0.719533274768,0.694368387295
360474500000,912,360469500000,fcu,5.12124872208,-6.33829784393,0.97125262022,0.0105992954371,-0.00190084392919,-0.718971626786,0.694955999762
360715500000,913,360714500000,fcu,5.14172935486,-6.48545122147,0.971413552761,0.012182753368,-8.48184408748e-05,-0.718415031446,0.695508027214
360955500000,914,360955500000,fcu,5.15162706375,-6.63719081879,0.971177875996,0.00999741217668,-0.00221805270651,-0.717923944899,0.696046220687
361194500000,915,361194500000,fcu,5.15300416946,-6.76872348785,0.968521118164,0.00786910051987,-0.00414208866381,-0.717441438348,0.696562059618
361435500000,916,361434500000,fcu,5.15775728226,-6.90403032303,0.973074376583,-0.00010421061714,0.00778081631214,-0.71693593554,0.697095626416
361674500000,917,361674500000,fcu,5.17476272583,-7.04892063141,0.97176194191,-0.00328163532524,0.0158988078163,-0.716373528488,0.697528082919
361914500000,918,361914500000,fcu,5.20069360733,-7.20123100281,0.971531271935,-0.00299489001834,0.0120477902995,-0.715928319928,0.698063408371
362155500000,919,362155500000,fcu,5.23004007339,-7.33838844299,0.969066977501,-0.00365007505669,0.00845790141554,-0.715475397467,0.698577194357
362394500000,920,362394500000,fcu,5.26665401459,-7.47342681885,0.972618341446,-0.00299175627764,0.00859373809872,-0.715036425372,0.699027973297
362634500000,921,362641500000,fcu,5.31030845642,-7.61931753159,0.967186272144,0.000423446312259,0.012026913236,-0.714599021144,0.699430777869
362875500000,922,362874500000,fcu,5.36241912842,-7.77215194702,0.970225930214,-0.000183716649758,0.0108051865362,-0.714163951873,0.699895037871
363114500000,923,363114500000,fcu,5.41552209854,-7.91253232956,0.970327377319,-0.00218412350928,0.00713511039755,-0.713726480917,0.700384772994
363354500000,924,363354500000,fcu,5.47108697891,-8.04803752899,0.973507761955,-0.00236062378083,0.00685255629274,-0.713292042172,0.700829460356
363594500000,925,363594500000,fcu,5.53477478027,-8.1912689209,0.969276607037,0.000486423652531,0.0118925632061,-0.712844096925,0.701221522639
363835500000,926,363834500000,fcu,5.60662651062,-8.34493923187,0.972373068333,0.000717036981132,0.0112916314128,-0.712402883539,0.701679496952
364075500000,927,364074500000,fcu,5.67919874191,-8.49106216431,0.975580751896,-0.00158983138976,0.00749199147989,-0.711956252452,0.702182054096
364314500000,928,364314500000,fcu,5.75112485886,-8.62720966339,0.976292014122,-0.00256355969629,0.0055932469539,-0.711500876018,0.702658271976
364554500000,929,364554500000,fcu,5.83175611496,-8.77003479004,0.975007474422,-0.00023253163759,0.0110314023757,-0.711027645927,0.703077478532
364794500000,930,364794500000,fcu,5.92011356354,-8.92154312134,0.975634455681,0.00054171399228,0.0113373460349,-0.71055280844,0.703552327513
365038500000,931,365038500000,fcu,6.01251554489,-9.07219982147,0.973768889904,-0.000916150296881,0.00773459362379,-0.710079531328,0.704078401827
